	#	$	ID	number	(	)	+	-	*	/	%	<	>	==	!=	=	,	function	double	char	int	float	;	continue	break	return	if	else	while	for	{	}	S	start	primary_expression	operator	arithmetic_expression	constant_expression	assignment_operator	assignment_expression	assignment_expression_profix	assignment_expression_list	function_expression	expression	expression_profix	expression_list	type_specifier	declaration_assign	declaration_init	declaration_init_list	declaration	function_declaration	function_declaration_suffix	function_declaration_list	function_definition	function_implement	statement	statement_list	expression_statement	jump_statement	selection_statement	iteration_statement	compound_statement	external_declaration	
I10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I16	 	
I11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s6	s7	s8	s9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I12	r2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s18	r42	 	 	 	 	 	r42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s21	 	 	 	 	 	r45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I15	 	 	s34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s6	s7	s8	s9	r29	s30	s25	s39	s23	 	s29	s33	s28	r61	 	 	 	 	 	 	 	I38	 	I26	 	 	 	 	I22	 	 	 	I32	 	 	 	 	 	I40	I35	I24	I37	I36	I27	I31	 	
I16	r53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r53	r53	r53	r53	r53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I17	 	 	s41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I18	 	 	s42	s49	s46	 	 	 	 	 	 	 	 	 	 	 	 	s45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I47	 	 	I43	 	 	 	 	I44	I48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r43	 	 	 	 	 	r43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I21	 	 	s13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I22	 	 	s13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I23	 	 	 	 	s53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I24	 	 	r54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r54	r54	r54	r54	r54	r54	r54	r54	r54	 	r54	r54	r54	r54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
